nome_unidade,latitude,longitude,,,
HIAE Morumbi,-23.5999231208265,-46.7152634095777,,,
Aphaville,-23.5004932340534,-46.8582769455684,,,
Chacara Klabin,-23.5908277534408,-46.6208381038977,,,
Perdizes ,-23.5333909517974,-46.6755464038996,,,
HMAP-H Munic. de Aparecida de Goiana,-16.6956899671105,-49.2695540428262,,,
Vila Mariana,-23.5925275644490,-46.6387452961415,,,
Alto de Pinheiros,-23.5420586180540,-46.7119314461843,,,
Vita Analia Amb,-23.5611995788278,-46.5633505747234,,,
Parque Cidade,-23.6241607109018,-46.7032047457351,,,
IIbirapuera,-23.5826218224292,-46.6632918744503,,,
Vita Santana A,-23.5038033562394,-46.6291466327361,,,
Santa Catarina,-23.6573042822844,-46.6537764825118,,,
Vita Osasco ,-23.5359599093993,-46.7794379997413,,,
Santa Maria HS,-29.6900341696246,-53.8001672294052,,,
Senne liquor,-23.5506803674198,-46.6598624997050,,,
MADRE THEODORA,-22.8408702566472,-47.0512498836366,,,
Hosp Vitória,-23.5630211002319,-46.5616898916792,,, 
Vita São B.AMB,-23.5995103747682,-46.7152721410282,,,
L900-Laboratório Mogi,-23.5216915381612,-46.1832484744524,,,
Samarit Bara,-22.9924662023636,-43.3700851894157,,,
Amb. Sorocaba,-23.5073284409687,-47.4596323003829,,,
Cidade Jardim,-23.5989108654599,-46.6976041824751,,,
AACD,-23.5976170792200,-46.6527532172731,,,
Giovanni G,-23.5949525478263,-46.7168695865075,,,
